cam_x, cam_y, cam_theta, odom_x, odom_y, odom_theta, cmd_vx, cmd_vy, cmd_wz, odom_vx, odom_vy, odom_wz
1.05945, 2.77369, 1.02826, -0.671304, 0.824745, -0.542536, 0, 0, -0.149117, 0, 0, 0
1.05945, 2.77369, 1.02826, -0.671304, 0.824745, -0.542536, 0, 0, -0.149117, 0, 0, 0
1.05945, 2.77369, 1.02826, -0.671304, 0.824745, -0.542536, 0, 0, -0.149117, 0, 0, 0
1.05945, 2.77369, 1.02826, -0.671304, 0.824745, -0.542536, 0, 0, -0.149117, 0, 0, 0
1.05947, 2.77368, 1.02672, -0.671144, 0.824769, -0.544072, 0, 0, -0.149117, -0.0021776, 0.00262743, -0.032333
1.05948, 2.77367, 1.02672, -0.671144, 0.824769, -0.544072, 0, 0, -0.149117, -0.0021776, 0.00262743, -0.032333
1.05949, 2.77366, 1.02672, -0.671144, 0.824769, -0.544072, 0, 0, -0.149117, -0.0021776, 0.00262743, -0.032333
1.0595, 2.77366, 1.02672, -0.671144, 0.824769, -0.544072, 0, 0, -0.149117, -0.0021776, 0.00262743, -0.032333
1.05951, 2.77365, 1.02672, -0.671144, 0.824769, -0.544072, 0, 0, -0.149117, -0.0021776, 0.00262743, -0.032333
1.05952, 2.77365, 1.01319, -0.671299, 0.824783, -0.557611, 0, 0, -0.122133, 0.00142955, -0.00295376, -0.284753
1.06124, 2.77774, 1.01319, -0.671299, 0.824783, -0.557611, 0, 0, -0.122133, 0.00142955, -0.00295376, -0.284753
1.06281, 2.78145, 1.00164, -0.671184, 0.824906, -0.569159, 0, 0, -0.122133, -0.00341032, 0.000677073, -0.238481
1.06423, 2.78484, 1.00164, -0.671184, 0.824906, -0.569159, 0, 0, -0.122133, -0.00341032, 0.000677073, -0.238481
1.06554, 2.78797, 1.00164, -0.671184, 0.824906, -0.569159, 0, 0, -0.122133, -0.00341032, 0.000677073, -0.238481
1.06676, 2.79086, 1.00164, -0.671184, 0.824906, -0.569159, 0, 0, -0, -0.00341032, 0.000677073, -0.238481
1.06788, 2.79356, 0.991085, -0.671133, 0.824792, -0.579711, 0, 0, -0, 0.0014143, 0.00216134, -0.217314
1.06903, 2.79638, 0.991085, -0.671133, 0.824792, -0.579711, 0, 0, -0, 0.0014143, 0.00216134, -0.217314
1.07011, 2.79903, 0.991085, -0.671133, 0.824792, -0.579711, 0, 0, -0, 0.0014143, 0.00216134, -0.217314
1.07112, 2.80152, 0.979495, -0.671055, 0.824858, -0.591301, 0, 0, -0, -0.00207527, 0.000600568, -0.243882
1.07208, 2.80387, 0.979495, -0.671055, 0.824858, -0.591301, 0, 0, -0, -0.00207527, 0.000600568, -0.243882
1.07298, 2.80609, 0.979495, -0.671055, 0.824858, -0.591301, 0, 0, -0, -0.00207527, 0.000600568, -0.243882
1.07383, 2.80818, 0.979495, -0.671055, 0.824858, -0.591301, 0, 0, -0, -0.00207527, 0.000600568, -0.243882
1.07463, 2.81017, 0.968631, -0.671016, 0.824853, -0.602165, 0, 0, -0, -0.000352213, 0.000739016, -0.224678
1.0753, 2.81183, 0.968631, -0.671016, 0.824853, -0.602165, 0, 0, -0, -0.000352213, 0.000739016, -0.224678
1.07594, 2.8134, 0.968631, -0.671016, 0.824853, -0.602165, 0, 0, -0, -0.000352213, 0.000739016, -0.224678
1.07655, 2.81489, 0.968631, -0.671016, 0.824853, -0.602165, 0, 0, -0, -0.000352213, 0.000739016, -0.224678
1.07713, 2.81631, 0.968631, -0.671016, 0.824853, -0.602165, 0, 0, -0, -0.000352213, 0.000739016, -0.224678
1.07768, 2.81765, 0.966098, -0.670814, 0.824834, -0.604699, 0, 0, -0, -0.00156936, 0.00279573, -0.0400655
1.07821, 2.81892, 0.966098, -0.670814, 0.824834, -0.604699, 0, 0, -0, -0.00156936, 0.00279573, -0.0400655
1.07871, 2.82014, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, -0, 0.000563875, -0.000686665, 0.00885203
1.07919, 2.82135, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, -0, 0.000563875, -0.000686665, 0.00885203
1.07965, 2.8225, 0.966528, -0.670843, 0.824834, -0.604268, 0, 0, -0, -0.000212631, 0.000205135, 0
1.08008, 2.82359, 0.966528, -0.670843, 0.824834, -0.604268, 0, 0, -0, -0.000212631, 0.000205135, 0
1.0805, 2.82464, 0.966528, -0.670843, 0.824834, -0.604268, 0, 0, -0, -0.000212631, 0.000205135, 0
1.08089, 2.82563, 0.966528, -0.670843, 0.824834, -0.604268, 0, 0, -0, -0.000212631, 0.000205135, 0
1.08126, 2.82657, 0.966528, -0.670843, 0.824834, -0.604268, 0, 0, -0, -0.000212631, 0.000205135, 0
1.08162, 2.82746, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, -0, 0.000215456, -0.000207862, 0
1.08196, 2.82831, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, -0, 0.000215456, -0.000207862, 0
1.08226, 2.82901, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, -0, 0, 0, 0
1.08254, 2.82968, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, -0, 0, 0, 0
1.08281, 2.83031, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, -0, 0, 0, 0
1.08307, 2.83091, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, -0, 0, 0, 0
1.08331, 2.83149, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, -0, 0, 0, 0
1.08354, 2.83203, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, -0, 0, 0, 0
1.08375, 2.83242, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, -0, 0, 0, 0
1.08394, 2.83279, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, -0, 0, 0, 0
1.08413, 2.83314, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, -0, 0, 0, 0
1.0843, 2.83348, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, -0, 0, 0, 0
1.08447, 2.8338, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, -0, 0, 0, 0
1.08463, 2.8341, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, -0, 0, 0, 0
1.08478, 2.83439, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, 0.0951479, 0, 0, 0
1.08411, 2.83227, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, 0.15453, 0, 0, 0
1.08347, 2.83025, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, 0.267899, 0, 0, 0
1.08285, 2.82833, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, 0.44065, 0, 0, 0
1.08227, 2.8265, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, 0.5, 0, 0, 0
1.0817, 2.82477, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, 0.5, 0, 0, 0
1.08117, 2.82311, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, 0.5, 0, 0, 0
1.08066, 2.82154, 0.966528, -0.670857, 0.824831, -0.604268, 0, 0, 0.5, 0, 0, 0
1.08111, 2.8225, 0.966528, -0.670843, 0.824834, -0.604268, 0, 0, 0.5, -0.00021032, 0.000202906, 0
1.08154, 2.8234, 0.966528, -0.670843, 0.824834, -0.604268, 0, 0, 0.5, -0.00021032, 0.000202906, 0
1.08195, 2.82427, 0.966528, -0.670843, 0.824834, -0.604268, 0, 0, 0.5, -0.00021032, 0.000202906, 0
1.08234, 2.82509, 0.966528, -0.670843, 0.824834, -0.604268, 0, 0, 0.5, -0.00021032, 0.000202906, 0
1.08271, 2.82587, 0.966528, -0.670843, 0.824834, -0.604268, 0, 0, 0.5, -0.00021032, 0.000202906, 0
1.08307, 2.82661, 0.974946, -0.670917, 0.824862, -0.59585, 0, 0, 0.5, 0.000406161, -0.00163731, 0.178734
1.08341, 2.82731, 0.987075, -0.670905, 0.824908, -0.583721, 0, 0, 0.5, -0.000915778, -0.000322425, 0.245266
1.08371, 2.82793, 0.987075, -0.670905, 0.824908, -0.583721, 0, 0, 0.5, -0.000915778, -0.000322425, 0.245266
1.08399, 2.82852, 0.987075, -0.670905, 0.824908, -0.583721, 0, 0, 0.5, -0.000915778, -0.000322425, 0.245266
1.08426, 2.82908, 0.987075, -0.670905, 0.824908, -0.583721, 0, 0, 0.5, -0.000915778, -0.000322425, 0.245266
1.08451, 2.82961, 0.987075, -0.670905, 0.824908, -0.583721, 0, 0, 0.5, -0.000915778, -0.000322425, 0.245266
1.08475, 2.83012, 0.987075, -0.670905, 0.824908, -0.583721, 0, 0, 0.5, -0.000915778, -0.000322425, 0.245266
1.085, 2.8306, 0.998512, -0.670986, 0.825071, -0.572284, 0, 0, 0.5, -0.00196012, -0.003369, 0.245635
1.08523, 2.83105, 1.01008, -0.671045, 0.825181, -0.560712, 0, 0, 0.5, -0.00125022, -0.00225586, 0.238618
1.08544, 2.83149, 1.01008, -0.671045, 0.825181, -0.560712, 0, 0, 0.5, -0.00125022, -0.00225586, 0.238618
1.08565, 2.8319, 1.01008, -0.671045, 0.825181, -0.560712, 0, 0, 0.5, -0.00125022, -0.00225586, 0.238618
1.08585, 2.83229, 1.01008, -0.671045, 0.825181, -0.560712, 0, 0, 0.5, -0.00125022, -0.00225586, 0.238618
1.08603, 2.83266, 1.01008, -0.671045, 0.825181, -0.560712, 0, 0, 0.5, -0.00125022, -0.00225586, 0.238618
1.08621, 2.83302, 1.01008, -0.671045, 0.825181, -0.560712, 0, 0, 0.5, -0.00125022, -0.00225586, 0.238618
1.08638, 2.83336, 1.02206, -0.671147, 0.825182, -0.548741, 0, 0, 0.5, 0.00109727, -0.0018028, 0.246949
1.08654, 2.83368, 1.03295, -0.67118, 0.825145, -0.537848, 0, 0, 0.5, 0.00103213, -0.000173189, 0.229174
1.08675, 2.83417, 1.03295, -0.67118, 0.825145, -0.537848, 0, 0, 0.5, 0.00103213, -0.000173189, 0.229174
1.08696, 2.83462, 1.03295, -0.67118, 0.825145, -0.537848, 0, 0, 0.5, 0.00103213, -0.000173189, 0.229174
1.08715, 2.83506, 1.03295, -0.67118, 0.825145, -0.537848, 0, 0, 0.5, 0.00103213, -0.000173189, 0.229174
1.08734, 2.83548, 1.03295, -0.67118, 0.825145, -0.537848, 0, 0, 0.5, 0.00103213, -0.000173189, 0.229174
1.08752, 2.83587, 1.05271, -0.671105, 0.825201, -0.518088, 0, 0, 0.5, -0.00135071, 0.000555332, 0.307685
1.0877, 2.83624, 1.0794, -0.670855, 0.825174, -0.491392, 0, 0, 0.5, -0.00209595, 0.00479773, 0.556257
1.08788, 2.83658, 1.0794, -0.670855, 0.825174, -0.491392, 0, 0, 0.5, -0.00209595, 0.00479773, 0.556257
1.08769, 2.83595, 1.0794, -0.670855, 0.825174, -0.491392, 0, 0, 0.5, -0.00209595, 0.00479773, 0.556257
1.08751, 2.83534, 1.0794, -0.670855, 0.825174, -0.491392, 0, 0, 0.5, -0.00209595, 0.00479773, 0.556257
1.08734, 2.83477, 1.0794, -0.670855, 0.825174, -0.491392, 0, 0, 0.5, -0.00209595, 0.00479773, 0.556257
1.08718, 2.83422, 1.0794, -0.670855, 0.825174, -0.491392, 0, 0, 0.5, -0.00209595, 0.00479773, 0.556257
